Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C15, C18, C21, C22, C25, C27, C28, C29, C3, C31, C32, C33, C34, C35, C36, C37, C39, C40, C41, C43, C44, C45, C46, C47, C49, C5, C51, C53, C55, C65, C7, C74",0603,35,100n,
"C11, C16, C19, C2, C23, C24, C26, C30, C4, C58, C6, C62, C64, C66, C70, C72, C73, C78, C80, C84",0805,20,10u,
"C13, C17, C20, C48, C50, C8",0603,6,1u,
"C14, C38, C54, C56, C9",0603,5,2.2u,
"C42, C52",0603,2,2u2,
"C57, C61, C63, C69, C71, C76, C79, C82",0603,8,470p,
"C59, C67, C75, C81",0603,4,2.7n,
"C60, C68, C77, C83",0603,4,10n,
"D1, D2",SOD3716X125N,2,B5819W,
"D10, D12, D14, D16, D4, D6, D8",LED_D3.0mm,7,LED,
"D11, D13, D15, D17, D18, D3, D5, D7, D9",0603,9,LED,
IC1,SOT95P280X145-6N,1,LV3842XDBVR,
IC2,QFN50P500X500X100-33N-D,1,ADAU1961WBCPZ-R7,
IC5,SON127P800X600X80-9N-D,1,W25Q512JVEIM,
"J15, J16, J17, J18",NYS-216G,4,ReanNYS216G,
J2,694106301002_1,1,Barrel_Jack_Switch,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,SRR6040A180M,1,18uH 1.5A,
R1,0603,1,100k,
R10,0603,1,4k7,
"R11, R12, R15, R16, R17, R18, R19, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R46, R48, R54, R56, R61, R63, R67, R69, R9",0603,30,10k,
"R13, R14",0603,2,5k1,
"R2, R3",0603,2,47k,
"R20, R21, R22, R23, R24, R25, R26, R41, R42",0603,9,680,
R4,0603,1,49.9,
"R43, R47, R51, R55, R59, R62, R65, R68",0603,8,634,
"R44, R49, R52, R57, R60, R64, R66, R70",0603,8,91,
"R45, R50, R53, R58",0603,4,470,
"R5, R6, R7, R8",0603,4,0,
"RV1, RV2, RV3",VARC1005X41N,3,CG0402MLU-12G,
RV4,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles,1,R_Potentiometer,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
"SW10, SW11, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_TH_Tactile_Omron_B3F-102x,10,SW_Push,
"U1, U2",SOT-223-3_TabPin2,2,TLV76133DCY,
"U3, U4",TSSOP-14_4.4x5mm_P0.65mm,2,MCP6004,
